,Caldo,Colpo_di_sole
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,1
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,1,0
107,1,0
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,2,0
199,2,0
200,2,0
201,2,0
202,2,0
203,2,0
204,2,0
205,2,0
206,2,0
207,2,0
208,2,0
209,2,0
210,2,0
211,2,0
212,2,0
213,2,0
214,2,0
215,2,0
216,2,0
217,2,0
218,2,0
219,2,0
220,2,0
221,2,0
222,2,0
223,2,0
224,2,0
225,2,0
226,2,0
227,2,0
228,2,0
229,2,0
230,2,0
231,2,0
232,2,0
233,2,0
234,2,0
235,2,0
236,2,0
237,2,0
238,2,0
239,2,0
240,2,0
241,2,0
242,2,0
243,2,0
244,2,0
245,2,0
246,2,0
247,2,0
248,2,0
249,2,0
250,2,0
251,2,0
252,2,0
253,2,0
254,2,0
255,2,0
256,2,0
257,2,0
258,2,0
259,2,0
260,2,0
261,2,1
262,2,1
263,2,1
264,2,1
265,2,1
266,2,1
267,2,1
268,2,1
269,2,1
270,2,1
271,2,1
272,2,1
273,2,1
274,2,1
275,2,1
276,2,1
277,2,1
278,2,1
279,2,1
280,2,1
281,2,1
282,2,1
283,2,1
284,2,1
285,2,1
286,2,1
287,2,1
288,2,1
289,2,1
290,2,1
291,2,1
292,2,1
293,2,1
294,2,1
295,2,1
296,2,1
297,2,1
298,2,1
299,2,1
300,2,1
301,3,0
302,3,0
303,3,0
304,3,0
305,3,0
306,3,0
307,3,0
308,3,0
309,3,0
310,3,0
311,3,0
312,3,0
313,3,0
314,3,0
315,3,0
316,3,0
317,3,0
318,3,0
319,3,0
320,3,0
321,3,0
322,3,0
323,3,0
324,3,0
325,3,0
326,3,0
327,3,0
328,3,0
329,3,0
330,3,0
331,3,0
332,3,0
333,3,0
334,3,0
335,3,0
336,3,0
337,3,0
338,3,0
339,3,0
340,3,0
341,3,0
342,3,0
343,3,1
344,3,1
345,3,1
346,3,1
347,3,1
348,3,1
349,3,1
350,3,1
351,3,1
352,3,1
353,3,1
354,3,1
355,3,1
356,3,1
357,3,1
358,3,1
359,3,1
360,3,1
361,3,1
362,3,1
363,3,1
364,3,1
365,3,1
366,3,1
367,3,1
368,3,1
369,3,1
370,3,1
371,3,1
372,3,1
373,3,1
374,3,1
375,3,1
376,3,1
377,3,1
378,3,1
379,3,1
380,3,1
381,3,1
382,3,1
383,3,1
384,3,1
385,3,1
386,3,1
387,3,1
388,3,1
389,3,1
390,3,1
391,3,1
392,3,1
393,3,1
394,3,1
395,3,1
396,3,1
397,3,1
398,3,1
399,3,1
400,3,1
401,3,1
402,3,1
403,3,1
404,3,1
405,4,0
406,4,0
407,4,0
408,4,0
409,4,0
410,4,0
411,4,0
412,4,0
413,4,1
414,4,1
415,4,1
416,4,1
417,4,1
418,4,1
419,4,1
420,4,1
421,4,1
422,4,1
423,4,1
424,4,1
425,4,1
426,4,1
427,4,1
428,4,1
429,4,1
430,4,1
431,4,1
432,4,1
433,4,1
434,4,1
435,4,1
436,4,1
437,4,1
438,4,1
439,4,1
440,4,1
441,4,1
442,4,1
443,4,1
444,4,1
445,4,1
446,4,1
447,4,1
448,4,1
449,4,1
450,4,1
451,4,1
452,4,1
453,4,1
454,4,1
455,4,1
456,4,1
457,4,1
458,4,1
459,4,1
460,4,1
461,4,1
462,4,1
463,4,1
464,4,1
465,4,1
466,4,1
467,4,1
468,4,1
469,4,1
470,4,1
471,4,1
472,4,1
473,4,1
474,4,1
475,4,1
476,4,1
477,4,1
478,4,1
479,4,1
480,4,1
481,4,1
482,4,1
483,4,1
484,4,1
485,4,1
486,4,1
487,4,1
488,4,1
489,4,1
490,4,1
491,4,1
492,4,1
493,4,1
494,4,1
495,4,1
496,4,1
497,4,1
498,4,1
499,4,1
500,4,1
501,4,1
502,4,1
503,4,1
504,4,1
505,4,1
506,4,1
507,4,1
508,4,1
509,4,1
